iter	Passed	Remaining
1412	1096	67
1413	1096	66
1414	1097	65
1415	1098	65
1416	1098	64
1417	1099	63
1418	1099	62
1419	1106	62
1420	1107	61
1421	1108	60
1422	1108	60
1423	1137	60
1424	1138	59
1425	1139	59
1426	1139	58
1427	1140	57
1428	1140	56
1429	1141	55
1430	1142	55
1431	1142	54
1432	1143	53
1433	1144	52
1434	1144	51
1435	1145	51
1436	1145	50
1437	1215	52
1438	1216	51
1439	1216	50
1440	1217	49
1441	1217	48
1442	1218	48
1443	1219	47
1444	1219	46
1445	1223	45
1446	1224	44
1447	1224	43
1448	1225	43
1449	1225	42
1450	1226	41
1451	1227	40
1452	1227	39
1453	1228	38
1454	1229	38
1455	1229	37
1456	1230	36
1457	1230	35
1458	1231	34
1459	1232	33
1460	1232	32
1461	1233	32
1462	1234	31
1463	1234	30
1464	1235	29
1465	1235	28
1466	1236	27
1467	1237	26
1468	1237	26
1469	1238	25
1470	1241	24
1471	1242	23
1472	1242	22
1473	1243	21
1474	1244	21
1475	1244	20
1476	1245	19
1477	1263	18
1478	1264	17
1479	1266	17
1480	1267	16
1481	1267	15
1482	1268	14
1483	1269	13
1484	1269	12
1485	1291	12
1486	1299	11
1487	1299	10
1488	1300	9
1489	1301	8
1490	1301	7
1491	1302	6
1492	1303	6
1493	1304	5
1494	1305	4
1495	1307	3
1496	1308	2
1497	1310	1
1498	1310	0
1499	1311	0
